plant_extract,extract_volume_mL_,precursor,conc_M_,precursor_volume_mL_,pH,time_hr_,methods,additives,particle_size_nm_
Sida cordifolia (Heartleaf),27.0,Fe(NO₃)₃ + Fe(ascorbate) (5:1),0.09,37.0,8.6,2.5,Co-Precipitation,0.35M gelatin + 0.1M Ag⁺,36
Cinnamomum verum (Cinnamon),40.0,FeCl3,0.1,50.0,7.0,3.0,Sonication,0.05 M PEG,38
Hypericum perforatum (St. John’s Wort),40.0,FeSO4,0.01,50.0,5.0,1.0,Co-Precipitation,0.5 M NH4OH,38
Rubus fruticosus (Blackberry),50.0,FeCl₃,0.06,60.0,7.5,2.5,Green synthesis,0.1 M tartaric acid,38
Swertia chirayita (Chiretta),32.0,Fe(NO₃)₃·9H₂O,0.114,49.0,6.8,1.25,Hydrothermal-microwave,0.2 M glucose + 0.1 M citric acid,38
Eucalyptus globulus,55.0,FeCl₃·6H₂O,0.25,65.0,8.0,3.5,Co-Precipitation,0.5M acetate buffer,39
Barleria prionitis (Porcupine Flower),23.0,FeCl₃ + Fe(dmg)₂ (3:1),0.085,33.0,8.0,2.25,Co-Precipitation,0.4M ε-polylysine,39
Adhatoda vasica (Malabar Nut),47.0,Fe(NO₃)₃ + Fe(oxalate) (5:1),0.155,57.0,8.2,2.0,Co-Precipitation,0.4M poly(acrylic acid),39
Triticum aestivum (Wheatgrass),45.0,FeCl3,0.02,55.0,7.0,2.0,Green synthesis,0.5 M starch,40
Ziziphus jujuba (Jujube),45.0,Fe2(SO4)3,0.015,55.0,6.0,1.5,Co-Precipitation,0.1 M NH4OH + 0.05 M H2O2,40
Glycyrrhiza glabra (Licorice),50.0,FeSO₄,0.11,60.0,6.0,1.25,Hydrolysis,0.2 M honey,40
Gynostemma pentaphyllum (Jiaogulan),51.0,FeCl₂·4H₂O,0.155,72.0,6.0,1.5,Electrochemical,0.2 M chitosan,41
Brassica oleracea (Cabbage),30.0,FeCl3,0.15,40.0,5.0,1.5,Stirring,0.3 M oxalic acid,42
Echinacea purpurea (Purple coneflower),35.0,Fe(NO3)3,0.04,45.0,8.0,1.5,Green synthesis,0.3 M fructose,42
Matricaria chamomilla (Chamomile),35.0,FeSO₄,0.09,45.0,6.0,1.5,Co-precipitation,0.5 M NaOH,42
Aloe vera leaves,25.0,FeCl3,0.05,30.0,7.0,2.0,Co-Precipitation,0.5 M NaOH,45
Ulmus rubra (Slippery elm),35.0,FeCl2,0.04,40.0,7.5,1.75,Green synthesis,0.2 M honey,45
Citrus sinensis (Orange peel),40.0,Fe₂(SO₄)₃,0.04,50.0,5.0,2.0,Sol-gel,0.1 M PVP,45
Tilia cordata (Linden),40.0,FeSO₄,0.13,50.0,7.0,2.0,Stirring,0.1 M ascorbic acid + 0.05 M PVP,45
Terminalia chebula (Black myrobalan),35.0,Fe(OOCH)₂,0.078,52.0,6.5,1.8,Spray pyrolysis,0.25 M PEG-6000,45
Carica papaya (Papaya),33.0,Fe(NO₃)₃·9H₂O,0.04,43.0,8.0,3.25,Co-Precipitation,0.1M oxalate,45
Hemidesmus indicus (Indian Sarsaparilla),31.0,FeCl₃ + Fe(maltol)₂ (4:1),0.105,41.0,7.2,3.0,Co-Precipitation,0.25M cyclodextrin,45
Origanum vulgare (Oregano),30.0,Fe(NO3)3,0.06,35.0,7.0,2.25,Solvothermal,0.3 M CTAB,47
Celosia argentea (Cockscomb),41.0,Fe(acac)₂,0.055,61.0,7.5,3.25,Co-Precipitation,0.15M pectin + 0.1M Ca²⁺,47
Solanum lycopersicum (Tomato),50.0,FeSO4,0.01,60.0,7.0,2.0,Co-Precipitation,0.1 M glycerol,48
Thymus vulgaris (Thyme),45.0,FeCl₃,0.07,55.0,7.0,2.0,Solvothermal,0.3 M CTAB,48
Phyllanthus emblica (Amla),39.0,Fe(OOCH)₃,0.061,57.0,6.2,2.0,Combustion,0.2 M glycine + 0.1 M urea,49
Mimosa pudica (Sensitive Plant),34.0,Fe(NO₃)₃ + Fe(EDTA) (7:1),0.065,44.0,7.8,3.5,Co-Precipitation,0.2M poly(γ-glutamic acid),49
Nyctanthes arbor-tristis (Night Jasmine),36.0,FeCl₃ + Fe(8-hydroxyquinoline) (3:1),0.095,46.0,7.6,3.0,Co-Precipitation,0.25M casein,49
Allium sativum (Garlic),15.0,Fe(NO3)3,0.05,25.0,5.0,2.0,Microemulsion,0.5 M oleic acid,50
Juglans regia (Walnut shell),60.0,FeCl3 + FeSO4,0.1,70.0,7.0,2.0,Hydrothermal,0.2 M starch,50
Cymbopogon citratus (Lemongrass),20.0,Fe₂(SO₄)₃,0.08,30.0,8.0,1.75,Microwave-assisted,0.3 M urea,50
Syzygium aromaticum,15.0,FeCl3,0.001,5.0,6.0,1.0,Co-Precipitation,0.10 M NaOH,50
Arthrospira platensis,50.0,FeCl3,0.1,50.0,4.0,1.5,Stirring,stirring for 60 min,50
Curcuma longa (Turmeric),50.0,FeCl₃/FeCl₂ (2:1),0.1,60.0,8.0,3.0,Co-Precipitation,0.2M oleate,51
Allium sativum (Garlic),18.0,FeCl₃·6H₂O,0.14,28.0,7.0,3.0,Co-Precipitation,0.2M citrate + 0.1M SDS,51
Ficus carica leaves,40.0,FeCl3,0.01,100.0,11.0,1.0,Stirring,stirring for 60 min,51
Morus alba (White mulberry),48.0,Fe(acac)₃,0.054,69.0,7.8,2.75,Supercritical fluid,0.5 M SC-CO₂ + ethanol,52
Berberis aristata (Tree turmeric),44.0,Fe(acac)₃,0.048,63.0,7.3,2.25,Sol-gel,0.35 M TEOS + 0.15 M HNO₃,54
Ginkgo biloba,10.0,FeCl3 + FeCl2,0.15,60.0,7.0,2.5,Co-Precipitation,0.3 M NH4OH,55
Withania somnifera (Ashwagandha),60.0,FeCl3,0.05,70.0,8.0,2.5,Sol-gel,0.3 M urea,55
Allium cepa (Onion peel),20.0,FeCl₃ + FeCl₂,0.1,30.0,5.5,1.0,Combustion,0.2 M glycine,55
Vitex negundo (Chinese Chaste),21.0,Fe(acac)₃ + Fe(glycinate) (3:1),0.07,31.0,7.4,3.75,Co-Precipitation,0.45M alginate + 0.15M Sr²⁺,56
Madhuca indica leaves,90.0,FeSO4,0.025,10.0,3.0,24.0,Co-Precipitation,0.1 M PVP,56
Plumbago zeylanica (Ceylon leadwort),43.0,Fe(acac)₂,0.107,61.0,5.0,3.5,Radiolysis,0.3 M isopropanol,58
Helianthus annuus (Sunflower),20.0,FeCl3,0.2,30.0,8.0,1.0,Ball milling,0.05 M PVA,60
Passiflora edulis (Passionfruit),40.0,FeCl3,0.07,50.0,5.5,1.5,Ball milling,0.1 M PEG-6000,60
Avena sativa (Oat straw),30.0,Fe(NO₃)₃,0.05,40.0,6.5,1.5,Ball milling,0.1 M oleic acid,60
Hibiscus flower,10.0,FeCl3,0.1,90.0,3.0,1.5,Co-Precipitation,0.1 M PVP,60
Saccharum arundinaceum,70.0,FeCl3,0.01,10.0,10.0,0.5,Stirring,200 rpm,60
Psidium guajava (Guava),52.0,FeCl₃·6H₂O,0.06,62.0,7.0,4.0,Co-Precipitation,0.25M borate buffer,61
Tussilago farfara (Coltsfoot),33.0,Fe(OOCH)₃,0.097,47.0,5.8,2.5,Flame spray pyrolysis,0.4 M PVA,63
Syzygium aromaticum (Clove),60.0,FeCl₂·4H₂O,0.12,70.0,7.0,4.0,Co-Precipitation,0.15M EDTA + 0.1M glucose,64
Rosmarinus officinalis (Rosemary),30.0,Fe2O3,0.5,80.0,10.0,0.75,Combustion,0.1 M PVP,65
Foeniculum vulgare (Fennel),25.0,FeCl3,0.15,30.0,6.0,3.0,Combustion,0.1 M glycine,65
Juglans nigra (Black walnut),55.0,FeCl₃,0.04,65.0,6.0,2.5,Co-precipitation,0.5 M NH₄OH + 0.1 M H₂O₂,65
Cocos nucifera (Coconut husk),50.0,Fe2(SO4)3,0.08,60.0,5.5,2.5,Sol-gel,0.1 M HCl,70
Phaseolus vulgaris (Green bean),45.0,FeCl₂,0.02,55.0,7.0,3.0,Sol-gel,0.1 M acetic acid,70
Bauhinia tomentosa leaves,50.0,FeCl3,0.01,50.0,3.0,1.5,Stirring,wash with water and acetone,70
Curcuma longa (Turmeric),60.0,FeCl3,0.1,70.0,6.0,4.0,Sol-gel,Ethanol wash,75
Quercus robur (Oak bark),70.0,Fe2(SO4)3,0.005,80.0,6.0,3.5,Co-Precipitation,0.5 M NaOH + 0.1 M H2O2,75
